SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
VEGA,U.S.A.,39470,177,27.43,17,12.2,4.8,7.716,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,0.717647059,0.185170194
ALKYONIS,GREECE,66000,219,32.2,19.7,13.2,6.5,7.2016,6.801242236,11.11675127,1.634517766,2.439393939,16.59090909,0.670050761,0.155371885
VELOPOULA,GREECE,66000,219,32.2,19.7,13.2,6.5,7.2016,6.801242236,11.11675127,1.634517766,2.439393939,16.59090909,0.670050761,0.155371885
SPORADES,GREECE,66000,219,32.2,19.7,13.2,6.5,7.2016,6.801242236,11.11675127,1.634517766,2.439393939,16.59090909,0.670050761,0.155371885
BUNGA KERAYONG,MALAYSIA,18000,152,25.8,10.8,6.98,3.82,6.84152,5.891472868,14.07407407,2.388888889,3.696275072,21.7765043,0.646296296,0.177172496
KANDILOUSA,GREECE,46000,174,32.2,18.6,12.2,6.4,7.2016,5.403726708,9.35483871,1.731182796,2.639344262,14.26229508,0.655913978,0.174309023
BUNGA KEKARAS,MALAYSIA,30000,170,30,14.4,9.08,5.32,7.2016,5.666666667,11.80555556,2.083333333,3.303964758,18.72246696,0.630555556,0.176347794
SERIFOPOULO,GREECE,46000,174,32.2,18.6,12.2,6.4,7.2016,5.403726708,9.35483871,1.731182796,2.639344262,14.26229508,0.655913978,0.174309023
SERIFOS,GREECE,46000,174,32.2,18.6,12.2,6.4,7.2016,5.403726708,9.35483871,1.731182796,2.639344262,14.26229508,0.655913978,0.174309023
TENACITY,BELGIUM,87000,218,42,21.1,13.6,7.5,7.731432,5.19047619,10.33175355,1.990521327,3.088235294,16.02941176,0.644549763,0.167184954
TORM ANN-MARIE,DENMARK,100000,234,42,21,14.3,6.7,7.56168,5.571428571,11.14285714,2,2.937062937,16.36363636,0.680952381,0.157825023
TORM HELENE,DENMARK,100000,234,42,21,14.3,6.7,7.56168,5.571428571,11.14285714,2,2.937062937,16.36363636,0.680952381,0.157825023
ORIENTAL GREEN,KOREA,100000,234,42,21,14.3,6.7,7.56168,5.571428571,11.14285714,2,2.937062937,16.36363636,0.680952381,0.157825023
VIJAYANTI,KOREA,30000,171,31,15.8,8.98,6.82,7.51024,5.516129032,10.82278481,1.962025316,3.452115813,19.04231626,0.56835443,0.183367033
SUVARNA SWARAJYA,INDIA,30000,165,25.87,17.5,10.6,6.9,7.2016,6.378044066,9.428571429,1.478285714,2.440566038,15.56603774,0.605714286,0.178999789
SAMPURNA SWARAJYA,INDIA,30000,165,25.87,17.5,10.6,6.9,7.2016,6.378044066,9.428571429,1.478285714,2.440566038,15.56603774,0.605714286,0.178999789
HELLAS FOS,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
HELLAS SERENITY,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
HELLAS RENAISSANCE,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
SANTIAGO,ECUADOR,45000,174,32.2,18,12,6,7.4588,5.403726708,9.666666667,1.788888889,2.683333333,14.5,0.666666667,0.180534345
