HULL NO.,SHIP'S NAME,COMPANY,COUNTRY,DWT DATE,CLASS,DIMENSIONS (LBP×B×D×d),LBP,B,D,d,MAIN ENGINE,SPEED (KT),DELIVERY
,ALPINE AMALIA,ST SHIPPING,SINGAPORE,105000,LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.6,10. 06. 24
,SWARNA JAYANTI,SHIPPING CORPORATION OF INDIA,INDIA,105000,ABS,234.00/42.00/21.00/14.00M,,,,,HYUNDAI-B&W 6S60MC-C8,15.2,10. 09. 27
,SWARNA KAMAL,SHIPPING CORPORATION OF INDIA,INDIA,"105,000",ABS,234.00/42.00/21.00/14.00M,,,,,HYUNDAI-B&W 6S60MC-C8,15.2,10. 11. 10
,RIO LUXEMBOURG,MPC STEAMSHIP,GERMANY,"75,000",GL,219.00/32.20/21.00/12.80M,,,,,HYUNDAI-B&W 6S60MC-C8,16,11. 01. 31
,RIO LILLEHAMMER,MPC STEAMSHIP,GERMANY,"75,000",GL,219.00/32.20/21.00/12.80M,,,,,HYUNDAI-B&W 6S60MC-C8,16,11. 04. 29
,ABU DHABI 3,ADNOC,U.A.E.,"105,000",DNV,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,15.6,11. 07. 01
,ALPINE AQUALINA,ST SHIPPING,SINGAPORE,"105,000",LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.6,11. 07. 25
,LIWA-V,ADNOC,U.A.E.,105000,DNV,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,15.6,11. 09. 30
,CHAMPION PRINCE,NYK LINE,JAPAN,105000,ABS,234.00/42.00/21.60/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,14.85,12. 01. 05
,GUADALUPE,DIAMOND S,USA,105000,ABS,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,15.6,12. 04. 04
,CHAMPION PRINCESS,NYK LINE,JAPAN,105000,ABS,234.00/42.00/21.60/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,14.85,12. 04. 06
,KING PHILIPPOS,CMM,GREECE,112000,ABS,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C8,15,12. 05. 15
,LADY HENRIETTA,CMM,GREECE,112000,DNV,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C8,15,12. 06. 29
,SEA STAR,AMPTC,KUWAIT,112000,ABS,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C8,15,12. 07. 25
,NECHES,DIAMOND S,USA,105000,ABS,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,15.6,12. 08. 21
,GLORY CRESCENT,MITSUBISHI CORP.,JAPAN,155000,LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C8,15.3,13. 01. 04
,SEA JEWEL,AMPTC,KUWAIT,155000,LR,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC-C8,15,13. 03. 11
,DENSA ALLIGATOR,DENSA,TURKEY,155000,BV,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-6G60ME-C9.2,15.5,13. 09. 16
,AMAZON VICTORY,SUN ENTERPRISES,GREECE,73000,ABS,218.00/40.00/18.20/11.75M,,,,,HYUNDAI-B&W 5G60ME-C9.2,15,14. 01. 03
,AMAZON VIRTUE,SUN ENTERPRISES,GREECE,73000,ABS,218.00/40.00/18.20/11.75M,,,,,HYUNDAI-B&W 5G60ME-C9.2,15,14. 02. 10
